review_id,comment_id,original_sentence,cleaned_sentence,sentence_embedding,food and drinks,people,place,opinions
9,11,"In 2014, after a year of applications, he landed a job as a kitchen porter at 111 by Nico in Kelvinside.",2014 year applications landed job kitchen porter 111 Nico Kelvinside,"[ 0.01720863  0.06678896 -0.03120692 -0.05673583  0.08251813 -0.0543336
  0.13334395  0.01085303  0.0193004  -0.16928966  0.01043909  0.10667696
 -0.8205102   0.02491079  0.13866933  0.05709884 -0.00882486  0.01057509
 -0.14546083  0.05082811 -0.02409118 -0.08545372 -0.00363839 -0.06503079
 -0.03166     0.10597139  0.05111273 -0.0442217   0.06594513  0.02515146
  0.00693437 -0.08397182 -0.11214861 -0.07919232  0.10970868  0.07051066
  0.02620193  0.17062072  0.10784895  0.09085514 -0.10319204  0.12680564
 -0.1000874   0.13031424  0.10384661 -0.09110011 -0.00927267  0.01056397
 -0.01611358  0.05269074]",0,1,1,0
23,4,"In 2015, the company behind both the steak restaurant Goodman and the hilarious luxe steak and seafood joint Beast turned it into a great-value seafood place called Rex and Mariano,",2015 company behind steak restaurant Goodman hilarious luxe steak seafood joint Beast turned great value seafood place called Rex Mariano,"[-6.86711320e-02  5.50530081e-02  1.62797713e-02 -9.11071053e-02
  1.33642818e-01 -1.30366344e-02  2.04329610e-02 -2.71193324e-03
  1.63474746e-02 -1.13277262e-01 -3.18537126e-02  3.57067097e-02
 -8.24034546e-01 -3.93280807e-02  1.68378135e-01  4.47711261e-02
  8.84090729e-02 -1.07673426e-01 -2.96327506e-02 -3.43423141e-02
 -4.04291046e-02 -7.37120441e-02 -4.21069539e-04 -1.02383464e-01
  4.41254787e-02  1.50352287e-01 -6.97072373e-03  4.29505299e-03
  8.30612346e-03 -1.75710952e-01  3.10031560e-02 -6.13229604e-03
 -1.52848373e-01 -9.74383249e-02  1.69136586e-02  4.80748474e-02
 -1.59823541e-02 -3.54071183e-02  1.98986711e-01  6.62052912e-02
 -1.25543510e-01 -4.26785690e-02 -1.45756539e-02 -1.19813377e-02
  1.03369749e-01  1.13829718e-01  1.40809417e-01 -2.79985710e-02
  5.97475617e-03 -1.26051595e-02]",1,1,1,0
26,8,Then in 2017 Yadikar and Rahman chose Walthamstow in northeast London for the original Etles,2017 Yadikar Rahman chose Walthamstow northeast London original Etles,"[-0.06079746  0.01868725  0.02121681 -0.1284263   0.01297693 -0.07156091
  0.05485087  0.01725499  0.01129684 -0.14134843 -0.02857565 -0.13146549
 -0.77166086 -0.01846899  0.17269244 -0.0712175   0.04072524  0.08438013
 -0.02837881  0.02858375  0.09102657 -0.23483885 -0.09730496 -0.19293534
 -0.04939595  0.07539763  0.05618291  0.02114358  0.02301847 -0.034641
  0.12543224 -0.1486127   0.10928316 -0.09705578  0.12239651 -0.0247367
 -0.08574703  0.08251668  0.09974122 -0.00736166 -0.12851683  0.01544793
  0.00343675  0.0711299  -0.14602981  0.05394836  0.07706975 -0.04356271
  0.11925253 -0.0216115 ]",0,1,1,0
0,8,"In 2021, they opened the first Café Lapérouse in the Place de la Concorde as a diffusion line",2021 opened first Café Lapérouse Place de la Concorde diffusion line,"[ 3.74229134e-02  1.14944782e-01  8.09337488e-03 -1.08587269e-02
  8.01577680e-02 -2.42037980e-02  5.48008291e-02 -2.13635046e-02
  2.31414896e-02 -6.33789915e-02  4.25490324e-03 -1.19914636e-01
 -7.64164523e-01  7.08788286e-02  1.09981614e-01  1.38452478e-01
  1.25133247e-01  8.68803637e-02 -8.82173617e-02  1.51441096e-02
 -4.62046726e-04 -2.27777204e-01  2.03738311e-02 -1.98724691e-01
  6.62561968e-02 -2.47550571e-01 -2.05316069e-04 -5.85713452e-02
 -7.75871521e-02  6.69763222e-02  5.92637566e-02 -7.20216492e-02
 -3.03263623e-02 -1.57401482e-01  1.04327356e-01  2.84293725e-02
 -2.60199140e-02 -1.73921568e-02  5.21669407e-02  1.14192556e-01
 -2.11022774e-01 -2.13570452e-02 -5.55485729e-02 -2.82868302e-02
  1.46561345e-02 -5.24935789e-03  6.01396642e-02 -2.16147624e-02
  1.21125444e-01 -4.72682058e-02]",0,0,1,0
16,20,"For £25, they'll do you half a lobster thermidor; times it by two for the whole beast.",25 half lobster thermidor times two whole beast,"[ 0.00301234  0.04389116  0.07742668 -0.03785375  0.02634722  0.00130985
  0.13541877  0.01283036 -0.03822589  0.00547249  0.02129355 -0.05091783
 -0.89444684  0.05478362 -0.01020557  0.01998082  0.04371075 -0.12171611
 -0.07573849 -0.03784297  0.01714402  0.03529289  0.06811143 -0.09168165
 -0.01231585  0.19541207 -0.03706034 -0.07254429 -0.03408117 -0.04082789
  0.03513405  0.01392861  0.01603466  0.01689599  0.00745271  0.02668077
 -0.02049889 -0.06476872  0.07715533  0.05148328 -0.1052797  -0.00340323
  0.0112117  -0.04186551  0.0673227  -0.04911631  0.09903897 -0.04546773
 -0.00868168  0.17103717]",1,1,1,0
10,27,"The £26 salade Niçoise is lovely in a quiet, understated way.",26 salade Niçoise lovely quiet understated way,"[-0.02994032 -0.08951637 -0.05723005  0.06213527  0.00960949  0.09884995
  0.11792295 -0.18207113 -0.20755685 -0.01212462 -0.1501372  -0.02593588
 -0.73585166 -0.0866653   0.01691439  0.14375746  0.09859986 -0.08152058
 -0.15546931  0.02168264 -0.05200263 -0.13140677 -0.12032496 -0.00119606
  0.05838162  0.27028593 -0.05877408  0.02606151 -0.0067896  -0.08075758
  0.10197198  0.03934037  0.0502067  -0.08104623 -0.00695594  0.09311944
 -0.02640023 -0.01610091  0.1342715   0.0942966  -0.09980999 -0.10731398
  0.08254013  0.04038807  0.05706499  0.04451598  0.08139263  0.16474817
 -0.00272771  0.03824662]",1,0,1,1
13,25,"For £28.50 a head you can simply order a meze, of starters and charcoal grills, delivered over five courses, and for parties of eight or more that's all they'll do.",28 50 head simply order meze starters charcoal grills delivered five courses parties eight,"[-8.88582019e-03  1.68842102e-02  1.67950347e-02  3.90904579e-02
  1.45324521e-01  3.07097073e-02  1.39028268e-01 -4.45655368e-03
  2.79832276e-02 -7.29580005e-02  1.02490404e-02 -2.51027347e-03
 -8.44466005e-01  1.17574720e-02  9.12494441e-03  6.70096979e-02
  1.92581199e-02 -1.37254636e-01 -5.67397844e-02  1.34203634e-02
 -4.93346191e-02 -2.61017271e-02  5.01538903e-02 -1.16982872e-01
 -1.40481363e-02  2.29761524e-01  5.31915259e-03 -1.02895031e-03
 -2.40291369e-02 -4.26969757e-02  1.75835716e-01  1.08088536e-01
 -2.83485073e-02 -2.47623495e-05  5.26423725e-02 -6.65280648e-02
 -1.33019532e-02  1.76738319e-02  1.16722599e-01  2.79062935e-02
  7.11420884e-02  7.08158572e-02 -1.53380496e-03 -8.12174906e-02
  1.18248160e-01 -1.38804569e-01  6.14241645e-02 -7.20984800e-02
 -4.62822311e-03  1.03002811e-01]",1,0,1,0
2,1,"29 Castle Hill, Lancaster LA1 1YN (01524 66466)",29 Castle Hill Lancaster LA1 1YN 01524 66466,"[-0.02925476 -0.11675163  0.00816505 -0.19138513 -0.05731804 -0.11667254
  0.04878458 -0.02741398 -0.0453527  -0.04143863  0.06885749 -0.06035953
 -0.66972155  0.03367113  0.24263321 -0.02459683  0.11927132  0.17229301
 -0.07104034  0.21342859  0.0984649  -0.10917139 -0.01496593 -0.1032204
  0.07180001 -0.28526709 -0.0007676   0.09262911 -0.00738622  0.07194506
  0.16271206 -0.03460768  0.04793493  0.02101824 -0.08314985  0.05880164
 -0.02283945  0.10145244  0.02621938  0.06853205 -0.23852736  0.00864994
  0.0473728   0.11376937  0.02700109  0.15599547  0.05051766 -0.06429359
  0.12331329 -0.06366352]",0,0,1,0
9,21,"You can have a £30 wine flight, or choose a bottle from the short wine list that starts at £23 and finishes at about £35.",30 wine flight choose bottle short wine list starts 23 finishes 35,"[-0.09365969 -0.01970246  0.06014066  0.03544602  0.09486814  0.06048721
  0.25370425 -0.07009014  0.04917975 -0.06197435 -0.04702807 -0.04017415
 -0.82885768  0.06097465 -0.01433036  0.10421292  0.06953813 -0.02417597
 -0.03691248  0.00118154 -0.07829043 -0.07143266  0.0843453  -0.03911062
  0.07831504  0.16023444 -0.01031618 -0.05347547  0.0058132  -0.03013347
  0.08364897  0.04915342 -0.08519423  0.02864489  0.10672126  0.02320407
  0.03448375  0.09131443  0.10605959  0.101367   -0.10823999  0.10416046
 -0.04154072  0.00385904  0.17486969 -0.07167957 -0.01613505 -0.0457249
 -0.04794261  0.06808636]",1,0,1,0
3,0,"34 New Briggate, Leeds LS1 6NU",34 New Briggate Leeds LS1 6NU,"[ 0.13821699  0.04255995 -0.05102505 -0.12559583 -0.06508078 -0.06520417
  0.06149642 -0.04219473  0.06041547 -0.02499655 -0.00476052  0.08133339
 -0.74098475  0.04084832 -0.0066003  -0.06046117  0.01201765  0.0299315
 -0.1604975   0.18964599 -0.02899793  0.00863114 -0.06435908 -0.12067161
  0.00757913 -0.08509401  0.0297082  -0.01675894 -0.06121523 -0.05235812
  0.09033439  0.0064102   0.02938575  0.03124743  0.33109747 -0.07618606
 -0.06646831  0.06632676 -0.0760381   0.09920928 -0.2885054   0.05737698
 -0.08822155  0.1121306  -0.09540213  0.01356482  0.02246865 -0.05817866
  0.09686773 -0.06803484]",0,0,1,0
17,36,"We have a £35 bottle of Abruzzo from the short wine list, which is overseen by the extremely knowledgable team from Noble Rot.",35 bottle Abruzzo short wine list overseen extremely knowledgable team Noble Rot,"[-0.06649003 -0.07125215  0.02574833  0.08667497  0.08915749  0.08254606
  0.04519758 -0.16825967 -0.06663828 -0.09391746 -0.05067509 -0.02678721
 -0.80956639 -0.14676007  0.11250878  0.04614298  0.1445371  -0.03485802
  0.03200309  0.04735134 -0.03757459 -0.03137544  0.01627607 -0.07111812
 -0.0512049   0.23742032 -0.01190917  0.01198595 -0.10667336 -0.08761923
  0.15676558  0.0008401  -0.03984365  0.03325649  0.14889004 -0.04896768
 -0.01026455  0.08082197  0.07056245  0.02881994 -0.07318656  0.00575674
  0.09464261  0.02672316  0.10872498 -0.01222791  0.08173873  0.04667782
 -0.13168262 -0.00102952]",1,0,1,1
10,16,"It's a 3D mood board, for when you decide to remake your living room to look like an oligarch's vision of laid back and cool.",3D mood board decide remake living room look like oligarch vision laid back cool,"[-0.02559946 -0.030482   -0.0114343   0.03571234  0.01615565  0.06235111
  0.19683803 -0.0141709   0.02364158  0.01613198 -0.02410463  0.01777026
 -0.93201035 -0.04444427 -0.00409374 -0.0027093  -0.01365122 -0.02856125
 -0.07875191 -0.03589175 -0.01736381 -0.05689093 -0.0252655   0.03107136
 -0.05499263  0.04633842 -0.03648668  0.00656067 -0.04982541  0.00157484
  0.00666408  0.00296988 -0.00935959 -0.07530633  0.05894724  0.04221362
  0.0090226  -0.01487465  0.05631579  0.0302038  -0.09024693  0.06500534
  0.048105    0.03708742  0.07937319  0.0227372   0.10118497  0.08977727
 -0.04725167 -0.00531349]",0,0,1,1
9,18,£40 a head.,40 head,"[-4.35838006e-02 -6.62141747e-02  8.22773238e-02 -1.65547445e-02
  4.48612363e-02  1.58083427e-03  9.53792062e-02  1.34530553e-01
 -2.81688020e-03  3.93553901e-02  3.86352241e-02  9.41017704e-02
 -7.84381495e-01 -1.44504865e-01  2.64352602e-02 -6.26596399e-02
 -3.64970164e-02 -5.97138161e-02 -6.94652124e-02 -2.35048672e-01
 -1.34461965e-01  5.06362854e-02  9.97602216e-02  3.18948085e-02
  4.83780480e-02  1.60967526e-01 -5.20440403e-02  4.87895736e-02
 -6.48372851e-02  9.28689163e-02 -9.18349585e-02  2.42010277e-02
 -6.50464793e-02 -5.19874556e-02  1.83505311e-02  6.23527139e-02
  5.67525611e-03  9.64800349e-02  9.39045802e-02  9.80798397e-02
 -1.07635762e-01  8.94361204e-02  2.66547378e-04  1.40938326e-01
  1.54017923e-01 -5.59380833e-02  1.63772753e-01  2.81482266e-02
  8.99453776e-02  1.09930007e-01]",0,0,1,0
10,3,"41a South Audley Street, London W1K 2PS",41a South Audley Street London W1K 2PS,"[ 4.66345034e-02  6.39323525e-02  6.43997737e-02 -2.21046644e-01
  4.83300954e-02 -3.60675219e-02  7.13574208e-02  1.07562882e-01
  9.11658317e-02 -5.99370562e-02  9.95419004e-02  3.80413374e-02
 -7.78043061e-01  2.20565255e-02  1.82745539e-01 -6.45222709e-02
  4.77081924e-02  5.05819462e-02 -8.85389530e-02  5.27228064e-02
  7.00942968e-02 -1.85964013e-01  2.35674315e-02 -1.40646812e-01
  9.21942959e-03  8.19887127e-05 -1.92613086e-02 -1.63244586e-02
 -2.51013487e-02 -9.47347482e-02  1.33746314e-01 -8.46620282e-03
  5.08837159e-02 -1.87550978e-03  1.48882539e-01 -1.65146109e-02
 -1.93262265e-02  8.09745544e-02  1.10154141e-01 -8.31914067e-02
 -2.44549012e-01  4.68860261e-02  3.07232392e-02  1.15853749e-01
  1.82387375e-02  2.92697254e-02 -6.57125176e-02 -2.04874075e-02
  8.89207902e-02  9.47746836e-02]",0,0,1,0
3,3,"During the 80s, they went through the coolest of marketing rebrands: lots of moody black-and-white imagery, a love affair with blocky sans serif fonts and so on.",80s went coolest marketing rebrands lots moody black white imagery love affair blocky sans serif fonts,"[ 0.0355351  -0.01895359 -0.058973    0.10407136  0.08772649  0.00870688
  0.19065309 -0.25724382 -0.07687547 -0.14780245 -0.10051293  0.0385596
 -0.76174171  0.02269258 -0.03832386 -0.00208437  0.04169904 -0.03986394
  0.01380217  0.17824942 -0.09895764 -0.12248121 -0.06715057 -0.08179795
 -0.13284359  0.22930859 -0.04605391  0.1243584  -0.09493035 -0.06501565
  0.06360078 -0.06045418 -0.02159974 -0.17222402  0.05643472 -0.04141575
  0.00925125  0.04695167  0.09290623  0.009472   -0.0258597  -0.06995786
  0.01443758  0.01501098 -0.08594743  0.02283597  0.0352514  -0.06080847
 -0.05682397 -0.0635417 ]",0,0,1,1
11,2,"9 Knightsbridge Green, London SW1X 7QL",9 Knightsbridge Green London SW1X 7QL,"[-0.0538159  -0.14716778  0.15567696 -0.30610152 -0.03379941 -0.12599273
 -0.06159381 -0.09758817  0.16938683 -0.29195371  0.03206017 -0.14527213
 -0.52903486 -0.02649403  0.09302202 -0.09728125  0.07354157  0.06233047
 -0.01995406  0.18539678 -0.01004743 -0.22407385  0.03456095 -0.11232241
 -0.07400867  0.0976741   0.03167257  0.1590017   0.04353446 -0.08797904
  0.05975173 -0.08049308  0.17990571 -0.14188223  0.12219726 -0.15417811
 -0.14881512  0.06414766  0.07107652  0.02492226 -0.17076536  0.11140368
 -0.03682206  0.0670984  -0.11675567  0.1121563   0.07678138 -0.09215916
  0.06158511  0.09107057]",0,0,1,0
17,34,"the £9 price tag, less so",9 price tag less,"[-0.00106203 -0.07579622 -0.00396836 -0.0332675   0.09206174  0.05141429
  0.09976189 -0.05853313  0.05755242  0.00180894  0.0168532  -0.05529025
 -0.7957995  -0.03120176 -0.047428    0.13689501  0.0807464  -0.01012482
  0.01235275  0.0185394  -0.07055778 -0.04755664  0.06478668  0.07636543
 -0.11023002  0.12113466  0.0854616   0.05930426 -0.02336253 -0.01634628
  0.05455186  0.05255206  0.02886025  0.04218796  0.18909548 -0.05879981
 -0.02767977 -0.08999726 -0.11907441 -0.09080902 -0.29510702  0.06215603
 -0.03286923 -0.00984683  0.06887556 -0.20128573 -0.01972744 -0.04045071
 -0.13289661  0.08910896]",0,0,1,1
20,8,"Then again, this is Aberdeen in September",Aberdeen September,"[ 0.02153101  0.00619281 -0.00241655 -0.13880031 -0.06977005 -0.06463358
  0.12870706 -0.00745241  0.01161466 -0.07296593  0.18087265 -0.14991239
 -0.54617624  0.04005368  0.05735351 -0.06121087  0.01923104  0.17704697
 -0.10463024  0.02394249  0.07010409 -0.09565846 -0.20647264 -0.21724004
  0.07357748  0.20559954  0.14866674 -0.10754531  0.00947866 -0.11856185
  0.1028222  -0.13180409  0.18621897  0.03210453  0.21859975 -0.11921826
 -0.11174557  0.1765008   0.11604303  0.10074361 -0.12389549  0.07478893
  0.06008686  0.23648375  0.02979569 -0.00100742 -0.10510037 -0.16543814
 -0.05214151  0.17008934]",0,0,1,0
10,8,"To be able to pay these prices comfortably, you are likely to have reached a certain age.",able pay prices comfortably likely reached certain age,"[-6.03143365e-02  2.35053621e-02 -5.47939868e-02  4.74966541e-02
  1.81381399e-02  2.71943152e-02  1.07191005e-01 -5.68040608e-02
  8.26317599e-05  6.69681372e-04  2.01325440e-03 -9.68179620e-02
 -8.55495791e-01  3.83557004e-02  5.60595747e-02  9.40017759e-02
  2.79788159e-02 -1.05085535e-02 -4.87269523e-02 -1.17952660e-01
  7.07219128e-02 -8.09738819e-02  1.36999943e-02 -1.53137799e-02
 -1.11081119e-01  1.73376565e-01  5.90497754e-02 -1.08872719e-02
 -4.22775369e-02  1.26595253e-02  1.47635387e-01 -1.15075058e-02
  3.71150212e-02  3.52505374e-02  1.06223923e-01  1.35496371e-02
 -6.02311587e-02 -3.60359922e-02  6.70261203e-03 -4.98414417e-02
  1.54278844e-02  9.64363341e-02  5.08878269e-02 -4.05368838e-02
  8.34428879e-02 -2.14443753e-01  1.62002545e-02  1.10724555e-01
 -7.22768401e-02  1.22535805e-01]",0,1,1,1
6,43,But the absolute standout item?,absolute standout item,"[-0.04975048 -0.06540878  0.03614139 -0.02110402  0.24439525 -0.01493558
  0.19896178 -0.11055484 -0.07376976 -0.0179218   0.10321678  0.13876628
 -0.61333884 -0.1364977   0.087891    0.02947796  0.22892676 -0.05492304
 -0.01295881  0.09939167 -0.13663472  0.03551108 -0.00375984 -0.10255014
 -0.10932235  0.32668565 -0.04531571 -0.10204816 -0.1077233  -0.08794189
  0.1896757   0.02764669  0.15502676  0.03757048  0.21075676 -0.09955823
 -0.00791787  0.00251488 -0.09236189 -0.08671409 -0.13916257 -0.16105998
  0.01229097 -0.01648542 -0.02374963 -0.07904521  0.03386203 -0.06330417
 -0.06045787 -0.01593694]",1,0,0,1
5,27,Accompany that with a platter of fat butter beans in a tomatoey stew rich in more chilli and the hot summer burst of oregano.,Accompany platter fat butter beans tomatoey stew rich chilli hot summer burst oregano,"[-0.09268127 -0.07794383  0.06500188 -0.04525495  0.11713738  0.04708798
 -0.01902025 -0.04175373  0.05499999 -0.06996    -0.19711149 -0.05976874
 -0.75328428 -0.08157092 -0.01925272  0.04788165  0.10252858 -0.16885539
  0.07380277 -0.00556739 -0.15060127  0.00820851  0.0768949  -0.00516712
  0.06613491  0.19549425 -0.01198934  0.07629558  0.02640048 -0.11630291
  0.04857511  0.17636925 -0.10008968 -0.01150895 -0.12120589 -0.06494561
  0.02425367 -0.02996549  0.12561223  0.19607691 -0.08887388 -0.11021661
 -0.07838295 -0.05826085  0.11666431  0.06326819  0.12036812  0.01740229
 -0.04512719  0.12525224]",1,0,0,0
